Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Monthly Change in Cars Sold,Monthly Change in Cars Sold (%),Total Value of Cars Sold,Monthly Change in Value of Cars Sold,Monthly Change in Value of Cars Sold (%),Monthly Change in Number of New Cars Sold,Monthly Change in Number of New Cars Sold (%),Monthly Change in Value of New Cars Sold,Monthly Change in Value of New Cars Sold (%),Monthly Change in Number of Used Cars Sold,Monthly Change in Number of Used Cars Sold (%),Monthly Change in Value of Used Cars Sold,Monthly Change in Value of Used Cars Sold (%)
2013-05-01,31273,60899,890714636,534686074,92172,1826.0,2.021118809908584,1425400710,32670764.0,2.345807533889266,1667.0,5.630615415794105,14040093.0,1.6015171322249833,159.0,0.2617714850181141,18630671.0,3.6102075264969224
2013-06-01,32103,59114,905273123,548815730,91217,-955.0,-1.0361064097556771,1454088853,28688143.0,2.0126370640014546,830.0,2.6540466216864456,14558487.0,1.6344726370927098,-1785.0,-2.931082612193958,14129656.0,2.6426078192565816
2013-07-01,31181,53038,893995360,487560735,84219,-6998.0,-7.6718155606959275,1381556095,-72532758.0,-4.9881929739268855,-922.0,-2.8720057315515635,-11277763.0,-1.2457856875974005,-6076.0,-10.278445038400374,-61254995.0,-11.161304542054584
2013-08-01,31348,58276,935844662,543294518,89624,5405.0,6.41779170970922,1479139180,97583085.0,7.063273460496,167.0,0.535582566306414,41849302.0,4.681154273552379,5238.0,9.87593800671216,55733783.0,11.43114672677652
2013-09-01,28407,56801,846084877,536010618,85208,-4416.0,-4.92725162902794,1382095495,-97043685.0,-6.560821747687062,-2941.0,-9.38177874186551,-89759785.0,-9.591312388123663,-1475.0,-2.5310590980849756,-7283900.0,-1.3406908699932774
2013-10-01,28654,54525,873865855,508508353,83179,-2029.0,-2.381231809219797,1382374208,278713.0,0.020165972684837996,247.0,0.8695039954940587,27780978.0,3.2834741236014375,-2276.0,-4.006971708244578,-27502265.0,-5.130917947599311
2013-11-01,27106,55433,876865110,525502076,82539,-640.0,-0.7694249750538007,1402367186,19992978.0,1.4462782858865486,-1548.0,-5.402387101277306,2999255.0,0.34321686593419276,908.0,1.665291150848236,16993723.0,3.3418768639184915
2013-12-01,23235,47181,743865185,460464879,70416,-12123.0,-14.687602224403006,1204330064,-198037122.0,-14.12163119452796,-3871.0,-14.280971002730025,-132999925.0,-15.16766073632465,-8252.0,-14.88643948550502,-65037197.0,-12.376201725985192
2014-01-01,23574,44021,760977262,450091642,67595,-2821.0,-4.0061917745966795,1211068904,6738840.0,0.5595509239068486,339.0,1.4590058102001313,17112077.0,2.3004271936722054,-3160.0,-6.697611326593334,-10373237.0,-2.2527748527809033
2014-02-01,26792,44887,866726180,460264339,71679,4084.0,6.041867001997181,1326990519,115921615.0,9.571843073265796,3218.0,13.650632052260958,105748918.0,13.896462257238905,866.0,1.9672429067944863,10172697.0,2.2601390585253345
